CUPS;Fecha;Hora;Consumo_kWh;Metodo_obtencion
ES0021000001720511XQ;05/02/2018;4;0,239;R
ES0021000001720511XQ;05/02/2018;5;0,240;R
ES0021000001720511XQ;05/02/2018;6;0,169;R
ES0021000001720511XQ;05/02/2018;7;1,686;R
ES0021000001720511XQ;05/02/2018;8;0,868;R
ES0021000001720511XQ;05/02/2018;9;0,399;R
ES0021000001720511XQ;05/02/2018;10;0,607;R
ES0021000001720511XQ;05/02/2018;11;0,229;R
ES0021000001720511XQ;05/02/2018;12;0,261;R
ES0021000001720511XQ;05/02/2018;13;0,274;R
ES0021000001720511XQ;05/02/2018;14;0,320;R
ES0021000001720511XQ;05/02/2018;15;0,884;R
ES0021000001720511XQ;05/02/2018;16;1,000;R
ES0021000001720511XQ;05/02/2018;17;1,546;R
ES0021000001720511XQ;05/02/2018;18;1,358;R
ES0021000001720511XQ;05/02/2018;19;0,524;R
ES0021000001720511XQ;05/02/2018;20;0,693;R
ES0021000001720511XQ;05/02/2018;21;0,693;R
ES0021000001720511XQ;05/02/2018;22;0,934;R
ES0021000001720511XQ;05/02/2018;23;1,882;R
ES0021000001720511XQ;05/02/2018;24;1,539;R
ES0021000001720511XQ;06/02/2018;1;0,837;E
ES0021000001720511XQ;06/02/2018;2;0,662;E
ES0021000001720511XQ;06/02/2018;3;0,585;E
ES0021000001720511XQ;06/02/2018;4;0,553;E
ES0021000001720511XQ;06/02/2018;5;0,546;E
ES0021000001720511XQ;06/02/2018;6;0,567;E
ES0021000001720511XQ;06/02/2018;7;0,679;E
ES0021000001720511XQ;06/02/2018;8;0,952;E
ES0021000001720511XQ;06/02/2018;9;1,152;E
ES0021000001720511XQ;06/02/2018;10;1,258;E
ES0021000001720511XQ;06/02/2018;11;1,353;E
ES0021000001720511XQ;06/02/2018;12;1,360;E
ES0021000001720511XQ;06/02/2018;13;1,373;E
ES0021000001720511XQ;06/02/2018;14;1,396;E
ES0021000001720511XQ;06/02/2018;15;1,333;E
ES0021000001720511XQ;06/02/2018;16;1,266;E
ES0021000001720511XQ;06/02/2018;17;1,261;E
ES0021000001720511XQ;06/02/2018;18;1,319;E
ES0021000001720511XQ;06/02/2018;19;1,428;E
ES0021000001720511XQ;06/02/2018;20;1,598;E
ES0021000001720511XQ;06/02/2018;21;1,670;E
ES0021000001720511XQ;06/02/2018;22;1,621;E
ES0021000001720511XQ;06/02/2018;23;1,406;E
ES0021000001720511XQ;06/02/2018;24;1,121;E
ES0021000001720511XQ;07/02/2018;1;0,382;R
ES0021000001720511XQ;07/02/2018;2;0,281;R
ES0021000001720511XQ;07/02/2018;3;0,276;R
ES0021000001720511XQ;07/02/2018;4;0,274;R
ES0021000001720511XQ;07/02/2018;5;0,327;R
ES0021000001720511XQ;07/02/2018;6;0,451;R
ES0021000001720511XQ;07/02/2018;7;1,877;R
ES0021000001720511XQ;07/02/2018;8;1,974;R
ES0021000001720511XQ;07/02/2018;9;0,250;R
ES0021000001720511XQ;07/02/2018;10;0,278;R
ES0021000001720511XQ;07/02/2018;11;0,233;R
ES0021000001720511XQ;07/02/2018;12;0,227;R
ES0021000001720511XQ;07/02/2018;13;0,887;R
ES0021000001720511XQ;07/02/2018;14;1,756;R
ES0021000001720511XQ;07/02/2018;15;0,767;R
ES0021000001720511XQ;07/02/2018;16;0,957;R
ES0021000001720511XQ;07/02/2018;17;1,918;R
ES0021000001720511XQ;07/02/2018;18;1,043;R
ES0021000001720511XQ;07/02/2018;19;0,815;R
ES0021000001720511XQ;07/02/2018;20;1,012;R
ES0021000001720511XQ;07/02/2018;21;0,925;R
ES0021000001720511XQ;07/02/2018;22;1,851;R
ES0021000001720511XQ;07/02/2018;23;2,183;R
ES0021000001720511XQ;07/02/2018;24;1,798;R
ES0021000001720511XQ;08/02/2018;1;0,835;E
ES0021000001720511XQ;08/02/2018;2;0,660;E
ES0021000001720511XQ;08/02/2018;3;0,584;E
ES0021000001720511XQ;08/02/2018;4;0,551;E
ES0021000001720511XQ;08/02/2018;5;0,544;E
ES0021000001720511XQ;08/02/2018;6;0,565;E
ES0021000001720511XQ;08/02/2018;7;0,677;E
ES0021000001720511XQ;08/02/2018;8;0,949;E
ES0021000001720511XQ;08/02/2018;9;1,148;E
ES0021000001720511XQ;08/02/2018;10;1,254;E
ES0021000001720511XQ;08/02/2018;11;1,349;E
ES0021000001720511XQ;08/02/2018;12;1,355;E
ES0021000001720511XQ;08/02/2018;13;1,368;E
ES0021000001720511XQ;08/02/2018;14;1,391;E
ES0021000001720511XQ;08/02/2018;15;1,329;E
ES0021000001720511XQ;08/02/2018;16;1,262;E
ES0021000001720511XQ;08/02/2018;17;1,257;E
ES0021000001720511XQ;08/02/2018;18;1,315;E
ES0021000001720511XQ;08/02/2018;19;1,423;E
ES0021000001720511XQ;08/02/2018;20;1,593;E
ES0021000001720511XQ;08/02/2018;21;1,665;E
ES0021000001720511XQ;08/02/2018;22;1,616;E
ES0021000001720511XQ;08/02/2018;23;1,401;E
ES0021000001720511XQ;08/02/2018;24;1,117;E
ES0021000001720511XQ;09/02/2018;1;2,031;R
ES0021000001720511XQ;09/02/2018;2;0,785;R
ES0021000001720511XQ;09/02/2018;3;0,362;R
ES0021000001720511XQ;09/02/2018;4;0,416;R
ES0021000001720511XQ;09/02/2018;5;0,371;R
ES0021000001720511XQ;09/02/2018;6;0,353;R
ES0021000001720511XQ;09/02/2018;7;1,920;R
ES0021000001720511XQ;09/02/2018;8;1,340;R
ES0021000001720511XQ;09/02/2018;9;0,243;R
