Fecha,Consumo_kWh
2018-02-07 13:00:00,1.756
2018-02-07 14:00:00,0.767
2018-02-07 15:00:00,0.957
2018-02-07 16:00:00,1.918
2018-02-07 17:00:00,1.043
2018-02-07 18:00:00,0.815
2018-02-07 19:00:00,1.012
2018-02-07 20:00:00,0.925
2018-02-07 21:00:00,1.851
2018-02-07 22:00:00,2.1830000000000003
2018-02-07 23:00:00,1.798
2018-02-08 00:00:00,0.835
2018-02-08 01:00:00,0.66
2018-02-08 02:00:00,0.584
2018-02-08 03:00:00,0.551
2018-02-08 04:00:00,0.544
2018-02-08 05:00:00,0.565
2018-02-08 06:00:00,0.677
2018-02-08 07:00:00,0.949
2018-02-08 08:00:00,1.148
2018-02-08 09:00:00,1.254
2018-02-08 10:00:00,1.349
2018-02-08 11:00:00,1.355
