Fecha,Fecha.1,Consumo_kWh,Fecha,VE
2018-03-03 22:00:00,2018-03-03 22:00:00,1.3068459840486877,2018-03-03 22:00:00,49.0993083534186
2018-03-03 23:00:00,2018-03-03 23:00:00,1.6270991249739657,2018-03-03 23:00:00,48.96273528868989
2018-03-04 00:00:00,2018-03-04 00:00:00,0.3683398438530462,2018-03-04 00:00:00,48.96752514629046
2018-03-04 01:00:00,2018-03-04 01:00:00,0.3664747109208772,2018-03-04 01:00:00,50.08818709014938
2018-03-04 02:00:00,2018-03-04 02:00:00,0.3644103559924399,2018-03-04 02:00:00,70.34781909872035
2018-03-04 03:00:00,2018-03-04 03:00:00,0.3698871577492813,2018-03-04 03:00:00,70.46346213041645
2018-03-04 04:00:00,2018-03-04 04:00:00,0.3533654409266893,2018-03-04 04:00:00,70.02555588717478
2018-03-04 05:00:00,2018-03-04 05:00:00,0.3486658720957515,2018-03-04 05:00:00,69.02904182399388
2018-03-04 06:00:00,2018-03-04 06:00:00,0.6222547322381949,2018-03-04 06:00:00,68.03314427927666
2018-03-04 07:00:00,2018-03-04 07:00:00,0.5463573686728936,2018-03-04 07:00:00,68.38931801036368
2018-03-04 08:00:00,2018-03-04 08:00:00,0.4874002396995104,2018-03-04 08:00:00,132.34383102773614
2018-03-04 09:00:00,2018-03-04 09:00:00,0.7021321547498962,2018-03-04 09:00:00,131.51505131419654
2018-03-04 10:00:00,2018-03-04 10:00:00,0.9427128485291724,2018-03-04 10:00:00,130.71560170200112
2018-03-04 11:00:00,2018-03-04 11:00:00,0.8993758970700702,2018-03-04 11:00:00,129.7098770794008
2018-03-04 12:00:00,2018-03-04 12:00:00,0.9357800152356816,2018-03-04 12:00:00,126.26462560409536
2018-03-04 13:00:00,2018-03-04 13:00:00,0.9585552272447226,2018-03-04 13:00:00,127.0126501976391
2018-03-04 14:00:00,2018-03-04 14:00:00,0.997985693364798,2018-03-04 14:00:00,133.66091462011195
2018-03-04 15:00:00,2018-03-04 15:00:00,0.84176022489953,2018-03-04 15:00:00,137.4236437353625
2018-03-04 16:00:00,2018-03-04 16:00:00,0.9409530684487916,2018-03-04 16:00:00,138.01955433675508
2018-03-04 17:00:00,2018-03-04 17:00:00,0.6824892561129665,2018-03-04 17:00:00,136.6267594122765
2018-03-04 18:00:00,2018-03-04 18:00:00,0.7057996087558177,2018-03-04 18:00:00,59.81709999136714
2018-03-04 19:00:00,2018-03-04 19:00:00,0.7983373973043371,2018-03-04 19:00:00,60.28215096106498
2018-03-04 20:00:00,2018-03-04 20:00:00,0.9887487283394896,2018-03-04 20:00:00,48.03612864555159
2018-03-04 21:00:00,2018-03-04 21:00:00,1.042482447978886,2018-03-04 21:00:00,46.96694174394267
2018-03-04 22:00:00,2018-03-04 22:00:00,0.9787310134780952,2018-03-04 22:00:00,47.24188479209485
2018-03-04 23:00:00,2018-03-04 23:00:00,0.8173502334098645,2018-03-04 23:00:00,47.12464261620303
2018-03-05 00:00:00,2018-03-05 00:00:00,0.7776840893242895,2018-03-05 00:00:00,47.14852774566943
2018-03-05 01:00:00,2018-03-05 01:00:00,0.9220696503812064,2018-03-05 01:00:00,48.287824371133134
2018-03-05 02:00:00,2018-03-05 02:00:00,0.27118035360308723,2018-03-05 02:00:00,68.56141621147458
2018-03-05 03:00:00,2018-03-05 03:00:00,0.27781653318958244,2018-03-05 03:00:00,68.69553602478149
2018-03-05 04:00:00,2018-03-05 04:00:00,0.2724784799245129,2018-03-05 04:00:00,68.2760425560554
2018-03-05 05:00:00,2018-03-05 05:00:00,0.2575038517520651,2018-03-05 05:00:00,67.29788055213601
2018-03-05 06:00:00,2018-03-05 06:00:00,0.9435073772306845,2018-03-05 06:00:00,66.32014551407619
2018-03-05 07:00:00,2018-03-05 07:00:00,1.0706089753592751,2018-03-05 07:00:00,66.69397800187967
2018-03-05 08:00:00,2018-03-05 08:00:00,0.7828321395065221,2018-03-05 08:00:00,130.65108627270928
2018-03-05 09:00:00,2018-03-05 09:00:00,0.439881600030052,2018-03-05 09:00:00,129.83987348815555
2018-03-05 10:00:00,2018-03-05 10:00:00,0.4772283649278246,2018-03-05 10:00:00,129.05780231794077
2018-03-05 11:00:00,2018-03-05 11:00:00,0.6023502397008093,2018-03-05 11:00:00,128.06932466397257
2018-03-05 12:00:00,2018-03-05 12:00:00,0.7101051721113989,2018-03-05 12:00:00,124.64171298516355
2018-03-05 13:00:00,2018-03-05 13:00:00,0.8937360925063681,2018-03-05 13:00:00,125.40622047040551
2018-03-05 14:00:00,2018-03-05 14:00:00,0.8424668750875317,2018-03-05 14:00:00,132.06941337338586
2018-03-05 15:00:00,2018-03-05 15:00:00,0.6138629087723309,2018-03-05 15:00:00,135.8475736637758
2018-03-05 16:00:00,2018-03-05 16:00:00,1.7954626331269412,2018-03-05 16:00:00,136.4594857241525
2018-03-05 17:00:00,2018-03-05 17:00:00,0.7349999762459629,2018-03-05 17:00:00,135.0829887305295
2018-03-05 18:00:00,2018-03-05 18:00:00,0.9692370872261066,2018-03-05 18:00:00,58.307103021485965
2018-03-05 19:00:00,2018-03-05 19:00:00,0.8983908300633147,2018-03-05 19:00:00,58.787685102721774
2018-03-05 20:00:00,2018-03-05 20:00:00,0.7737066958788,2018-03-05 20:00:00,46.56000398025975
2018-03-05 21:00:00,2018-03-05 21:00:00,0.9281738376059679,2018-03-05 21:00:00,45.50638187120982
2018-03-05 22:00:00,2018-03-05 22:00:00,1.9666953131640732,2018-03-05 22:00:00,45.79641511778228
2018-03-05 23:00:00,2018-03-05 23:00:00,1.5646496890312127,2018-03-05 23:00:00,45.69419644753575
2018-03-06 00:00:00,2018-03-06 00:00:00,0.9243782913244736,2018-03-06 00:00:00,45.73291527226141
2018-03-06 01:00:00,2018-03-06 01:00:00,0.3785129237870473,2018-03-06 01:00:00,46.88662952156601
2018-03-06 02:00:00,2018-03-06 02:00:00,0.366460349593762,2018-03-06 02:00:00,67.17000923251828
2018-03-06 03:00:00,2018-03-06 03:00:00,0.3792189364107053,2018-03-06 03:00:00,67.31847639492506
2018-03-06 04:00:00,2018-03-06 04:00:00,0.3678066537288147,2018-03-06 04:00:00,66.91330946335582
2018-03-06 05:00:00,2018-03-06 05:00:00,0.36740577430119215,2018-03-06 05:00:00,65.94945594092961
2018-03-06 06:00:00,2018-03-06 06:00:00,0.6823068746425139,2018-03-06 06:00:00,64.98588208973469
2018-03-06 07:00:00,2018-03-06 07:00:00,0.550785391016934,2018-03-06 07:00:00,65.37341392493417
2018-03-06 08:00:00,2018-03-06 08:00:00,0.607577931551697,2018-03-06 08:00:00,129.32920286437582
2018-03-06 09:00:00,2018-03-06 09:00:00,0.8565067686649287,2018-03-06 09:00:00,128.5316798940493
