CUPS;Fecha;Hora;Consumo_kWh;Metodo_obtencion
ES0021000001720511XQ;19/02/2018;5;0,416;R
ES0021000001720511XQ;19/02/2018;6;0,390;R
ES0021000001720511XQ;19/02/2018;7;1,728;R
ES0021000001720511XQ;19/02/2018;8;1,085;R
ES0021000001720511XQ;19/02/2018;9;0,612;R
ES0021000001720511XQ;19/02/2018;10;0,876;R
ES0021000001720511XQ;19/02/2018;11;0,465;R
ES0021000001720511XQ;19/02/2018;12;0,410;R
ES0021000001720511XQ;19/02/2018;13;0,415;R
ES0021000001720511XQ;19/02/2018;14;0,452;R
ES0021000001720511XQ;19/02/2018;15;0,469;R
ES0021000001720511XQ;19/02/2018;16;1,004;R
ES0021000001720511XQ;19/02/2018;17;1,771;R
ES0021000001720511XQ;19/02/2018;18;1,069;R
ES0021000001720511XQ;19/02/2018;19;1,291;R
ES0021000001720511XQ;19/02/2018;20;0,478;R
ES0021000001720511XQ;19/02/2018;21;0,496;R
ES0021000001720511XQ;19/02/2018;22;0,541;R
ES0021000001720511XQ;19/02/2018;23;1,519;R
ES0021000001720511XQ;19/02/2018;24;2,177;R
ES0021000001720511XQ;20/02/2018;1;0,616;E
ES0021000001720511XQ;20/02/2018;2;0,486;E
ES0021000001720511XQ;20/02/2018;3;0,430;E
ES0021000001720511XQ;20/02/2018;4;0,406;E
ES0021000001720511XQ;20/02/2018;5;0,401;E
ES0021000001720511XQ;20/02/2018;6;0,417;E
ES0021000001720511XQ;20/02/2018;7;0,499;E
ES0021000001720511XQ;20/02/2018;8;0,700;E
ES0021000001720511XQ;20/02/2018;9;0,847;E
ES0021000001720511XQ;20/02/2018;10;0,925;E
ES0021000001720511XQ;20/02/2018;11;0,995;E
ES0021000001720511XQ;20/02/2018;12;1,000;E
ES0021000001720511XQ;20/02/2018;13;1,009;E
ES0021000001720511XQ;20/02/2018;14;1,026;E
ES0021000001720511XQ;20/02/2018;15;0,980;E
ES0021000001720511XQ;20/02/2018;16;0,931;E
ES0021000001720511XQ;20/02/2018;17;0,927;E
ES0021000001720511XQ;20/02/2018;18;0,970;E
ES0021000001720511XQ;20/02/2018;19;1,049;E
ES0021000001720511XQ;20/02/2018;20;1,175;E
ES0021000001720511XQ;20/02/2018;21;1,228;E
ES0021000001720511XQ;20/02/2018;22;1,192;E
ES0021000001720511XQ;20/02/2018;23;1,033;E
ES0021000001720511XQ;20/02/2018;24;0,824;E
ES0021000001720511XQ;21/02/2018;1;1,029;R
ES0021000001720511XQ;21/02/2018;2;0,173;R
ES0021000001720511XQ;21/02/2018;3;0,113;R
ES0021000001720511XQ;21/02/2018;4;0,109;R
ES0021000001720511XQ;21/02/2018;5;0,108;R
ES0021000001720511XQ;21/02/2018;6;0,164;R
ES0021000001720511XQ;21/02/2018;7;1,832;R
ES0021000001720511XQ;21/02/2018;8;1,759;R
ES0021000001720511XQ;21/02/2018;9;0,116;R
ES0021000001720511XQ;21/02/2018;10;0,101;R
ES0021000001720511XQ;21/02/2018;11;0,098;R
ES0021000001720511XQ;21/02/2018;12;0,132;R
ES0021000001720511XQ;21/02/2018;13;0,314;R
ES0021000001720511XQ;21/02/2018;14;0,311;R
ES0021000001720511XQ;21/02/2018;15;0,622;R
ES0021000001720511XQ;21/02/2018;16;0,942;R
ES0021000001720511XQ;21/02/2018;17;1,379;R
ES0021000001720511XQ;21/02/2018;18;0,426;R
ES0021000001720511XQ;21/02/2018;19;0,302;R
ES0021000001720511XQ;21/02/2018;20;0,354;R
ES0021000001720511XQ;21/02/2018;21;0,229;R
ES0021000001720511XQ;21/02/2018;22;1,021;R
ES0021000001720511XQ;21/02/2018;23;1,870;R
ES0021000001720511XQ;21/02/2018;24;2,463;R
ES0021000001720511XQ;22/02/2018;1;0,614;E
ES0021000001720511XQ;22/02/2018;2;0,485;E
ES0021000001720511XQ;22/02/2018;3;0,429;E
ES0021000001720511XQ;22/02/2018;4;0,405;E
ES0021000001720511XQ;22/02/2018;5;0,400;E
ES0021000001720511XQ;22/02/2018;6;0,416;E
ES0021000001720511XQ;22/02/2018;7;0,497;E
ES0021000001720511XQ;22/02/2018;8;0,698;E
ES0021000001720511XQ;22/02/2018;9;0,844;E
