CUPS;Fecha;Hora;Consumo_kWh;Metodo_obtencion
ES0021000001720511XQ;08/03/2018;19;0,914;E
ES0021000001720511XQ;08/03/2018;20;1,024;E
ES0021000001720511XQ;08/03/2018;21;1,122;E
ES0021000001720511XQ;08/03/2018;22;1,116;E
ES0021000001720511XQ;08/03/2018;23;0,974;E
ES0021000001720511XQ;08/03/2018;24;0,785;E
ES0021000001720511XQ;09/03/2018;1;1,189;R
ES0021000001720511XQ;09/03/2018;2;0,400;R
ES0021000001720511XQ;09/03/2018;3;0,313;R
ES0021000001720511XQ;09/03/2018;4;0,289;R
ES0021000001720511XQ;09/03/2018;5;0,311;R
ES0021000001720511XQ;09/03/2018;6;0,335;R
ES0021000001720511XQ;09/03/2018;7;1,801;R
ES0021000001720511XQ;09/03/2018;8;1,265;R
ES0021000001720511XQ;09/03/2018;9;0,343;R
ES0021000001720511XQ;09/03/2018;10;0,378;R
ES0021000001720511XQ;09/03/2018;11;0,492;R
ES0021000001720511XQ;09/03/2018;12;1,002;R
ES0021000001720511XQ;09/03/2018;13;0,404;R
ES0021000001720511XQ;09/03/2018;14;0,405;R
ES0021000001720511XQ;09/03/2018;15;0,815;R
ES0021000001720511XQ;09/03/2018;16;1,295;R
ES0021000001720511XQ;09/03/2018;17;1,686;R
ES0021000001720511XQ;09/03/2018;18;0,519;R
ES0021000001720511XQ;09/03/2018;19;0,976;R
ES0021000001720511XQ;09/03/2018;20;0,880;R
ES0021000001720511XQ;09/03/2018;21;1,246;R
ES0021000001720511XQ;09/03/2018;22;1,339;R
ES0021000001720511XQ;09/03/2018;23;1,291;R
ES0021000001720511XQ;09/03/2018;24;0,953;R
ES0021000001720511XQ;10/03/2018;1;1,111;R
ES0021000001720511XQ;10/03/2018;2;0,540;R
ES0021000001720511XQ;10/03/2018;3;0,403;R
ES0021000001720511XQ;10/03/2018;4;0,424;R
ES0021000001720511XQ;10/03/2018;5;0,372;R
ES0021000001720511XQ;10/03/2018;6;0,522;R
ES0021000001720511XQ;10/03/2018;7;0,326;R
ES0021000001720511XQ;10/03/2018;8;0,844;R
ES0021000001720511XQ;10/03/2018;9;1,473;R
ES0021000001720511XQ;10/03/2018;10;0,665;R
ES0021000001720511XQ;10/03/2018;11;0,960;R
ES0021000001720511XQ;10/03/2018;12;0,431;R
ES0021000001720511XQ;10/03/2018;13;0,487;R
ES0021000001720511XQ;10/03/2018;14;1,489;R
ES0021000001720511XQ;10/03/2018;15;1,248;R
ES0021000001720511XQ;10/03/2018;16;1,023;R
ES0021000001720511XQ;10/03/2018;17;0,334;R
ES0021000001720511XQ;10/03/2018;18;0,269;R
ES0021000001720511XQ;10/03/2018;19;0,297;R
ES0021000001720511XQ;10/03/2018;20;0,484;R
ES0021000001720511XQ;10/03/2018;21;0,685;R
ES0021000001720511XQ;10/03/2018;22;0,707;R
