Fecha,Consumo_kWh,Fecha,TPD,EDP,VE
2018-02-12 04:00:00,0.40299999999999997,2018-02-12 04:00:00,108.62,59.08,55.75
2018-02-12 05:00:00,0.418,2018-02-12 05:00:00,114.91,65.43,62.08
2018-02-12 06:00:00,0.501,2018-02-12 06:00:00,126.16,76.59,81.07
2018-02-12 07:00:00,0.695,2018-02-12 07:00:00,125.93,76.93,80.84
2018-02-12 08:00:00,0.8440000000000001,2018-02-12 08:00:00,126.26,77.47,81.29
2018-02-12 09:00:00,0.932,2018-02-12 09:00:00,125.96,77.26,80.94
2018-02-12 10:00:00,1.0090000000000001,2018-02-12 10:00:00,124.7,76.1,79.68
2018-02-12 11:00:00,1.02,2018-02-12 11:00:00,123.63,142.33,78.63
2018-02-12 12:00:00,1.0290000000000001,2018-02-12 12:00:00,123.33,142.1,142.1
2018-02-12 13:00:00,1.047,2018-02-12 13:00:00,123.83,142.6,142.6
2018-02-12 14:00:00,0.996,2018-02-12 14:00:00,118.98,137.71,137.71
2018-02-12 15:00:00,0.9420000000000001,2018-02-12 15:00:00,118.05,136.78,136.78
2018-02-12 16:00:00,0.937,2018-02-12 16:00:00,121.97,140.66,140.66
2018-02-12 17:00:00,0.977,2018-02-12 17:00:00,125.04,143.76,143.76
2018-02-12 18:00:00,1.053,2018-02-12 18:00:00,128.72,147.46,147.46
2018-02-12 19:00:00,1.183,2018-02-12 19:00:00,130.76,149.65,149.65
2018-02-12 20:00:00,1.238,2018-02-12 20:00:00,131.77,150.74,150.74
2018-02-12 21:00:00,1.205,2018-02-12 21:00:00,130.47,80.58,149.42
2018-02-12 22:00:00,1.042,2018-02-12 22:00:00,129.37,79.53,84.27
2018-02-12 23:00:00,0.828,2018-02-12 23:00:00,130.14,79.91,85.01
2018-02-13 00:00:00,1.379,2018-02-13 00:00:00,116.96,67.14,63.65
2018-02-13 01:00:00,0.222,2018-02-13 01:00:00,111.87,62.29,58.85
2018-02-13 02:00:00,0.106,2018-02-13 02:00:00,110.37,60.8,57.42
2018-02-13 03:00:00,0.134,2018-02-13 03:00:00,109.12,59.61,56.26
2018-02-13 04:00:00,0.157,2018-02-13 04:00:00,109.05,59.65,56.34
2018-02-13 05:00:00,0.11,2018-02-13 05:00:00,111.28,62.01,58.76
2018-02-13 06:00:00,1.754,2018-02-13 06:00:00,123.66,74.19,78.57
2018-02-13 07:00:00,1.8869999999999998,2018-02-13 07:00:00,125.62,76.77,80.62
2018-02-13 08:00:00,0.19699999999999998,2018-02-13 08:00:00,125.29,76.61,80.27
2018-02-13 09:00:00,0.141,2018-02-13 09:00:00,123.07,74.6,78.07
2018-02-13 10:00:00,0.094,2018-02-13 10:00:00,114.94,66.77,69.92
2018-02-13 11:00:00,0.09300000000000001,2018-02-13 11:00:00,111.5,130.06,66.42
2018-02-13 12:00:00,0.092,2018-02-13 12:00:00,111.71,130.33,130.33
2018-02-13 13:00:00,0.142,2018-02-13 13:00:00,107.89,126.49,126.49
2018-02-13 14:00:00,0.311,2018-02-13 14:00:00,106.55,125.19,125.19
2018-02-13 15:00:00,0.508,2018-02-13 15:00:00,107.89,126.54,126.54
2018-02-13 16:00:00,1.422,2018-02-13 16:00:00,112.33,130.96,130.96
2018-02-13 17:00:00,0.782,2018-02-13 17:00:00,117.3,135.96,135.96
2018-02-13 18:00:00,1.005,2018-02-13 18:00:00,125.03,143.81,143.81
2018-02-13 19:00:00,0.606,2018-02-13 19:00:00,127.51,146.31,146.31
2018-02-13 20:00:00,0.608,2018-02-13 20:00:00,128.23,147.17,147.17
2018-02-13 21:00:00,2.119,2018-02-13 21:00:00,126.07,76.43,145.04
2018-02-13 22:00:00,2.47,2018-02-13 22:00:00,113.86,64.66,68.68
2018-02-13 23:00:00,2.384,2018-02-13 23:00:00,109.04,59.7,63.73
2018-02-14 00:00:00,0.657,2018-02-14 00:00:00,107.27,57.9,54.7
2018-02-14 01:00:00,0.26899999999999996,2018-02-14 01:00:00,104.95,55.64,52.46
2018-02-14 02:00:00,0.299,2018-02-14 02:00:00,101.51,52.36,49.28
2018-02-14 03:00:00,0.243,2018-02-14 03:00:00,101.54,52.39,49.31
2018-02-14 04:00:00,0.242,2018-02-14 04:00:00,102.81,53.7,50.57
2018-02-14 05:00:00,0.266,2018-02-14 05:00:00,109.54,60.4,57.24
2018-02-14 06:00:00,1.002,2018-02-14 06:00:00,115.89,66.72,70.74
2018-02-14 07:00:00,1.0070000000000001,2018-02-14 07:00:00,123.85,74.92,78.82
2018-02-14 08:00:00,0.295,2018-02-14 08:00:00,120.78,72.24,75.8
2018-02-14 09:00:00,0.78,2018-02-14 09:00:00,119.71,71.34,74.69
2018-02-14 10:00:00,1.11,2018-02-14 10:00:00,112.97,64.81,67.94
2018-02-14 11:00:00,1.24,2018-02-14 11:00:00,110.18,128.79,65.15
2018-02-14 12:00:00,1.218,2018-02-14 12:00:00,109.42,128.03,128.03
2018-02-14 13:00:00,1.23,2018-02-14 13:00:00,108.12,126.77,126.77
2018-02-14 14:00:00,2.967,2018-02-14 14:00:00,107.4,126.05,126.05
2018-02-14 15:00:00,1.23,2018-02-14 15:00:00,108.12,126.71,126.71
