,Fecha,TPD
2018-03-06 10:00:00,2018-03-06 10:00:00,123.76496731865902
2018-03-06 11:00:00,2018-03-06 11:00:00,123.14499703085838
2018-03-06 12:00:00,2018-03-06 12:00:00,124.6315241477244
2018-03-06 13:00:00,2018-03-06 13:00:00,127.96513693290137
2018-03-06 14:00:00,2018-03-06 14:00:00,131.51814923501342
2018-03-06 15:00:00,2018-03-06 15:00:00,132.56774710173622
2018-03-06 16:00:00,2018-03-06 16:00:00,132.89498228198326
2018-03-06 17:00:00,2018-03-06 17:00:00,131.72180576397324
2018-03-06 18:00:00,2018-03-06 18:00:00,127.98529509786378
2018-03-06 19:00:00,2018-03-06 19:00:00,126.83888680926123
2018-03-06 20:00:00,2018-03-06 20:00:00,123.61288089358348
2018-03-06 21:00:00,2018-03-06 21:00:00,120.92421104584497
2018-03-06 22:00:00,2018-03-06 22:00:00,119.52386519939898
2018-03-06 23:00:00,2018-03-06 23:00:00,118.95993482513347
2018-03-07 00:00:00,2018-03-07 00:00:00,119.26929056932958
